Show,EpId,ClipId,Start,Stop,Unsure,PoorAudioQuality,Prolongation,Block,SoundRep,WordRep,DifficultToUnderstand,Interjection,NoStutteredWords,NaturalPause,Music,NoSpeech,Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
HeStutters,0,0,31900320,31948320,0,0,0,0,0,0,0,0,3,1,0,0,HeStutters_0_0,-392.1728,63.35069,4.833431,6.9778438,2.1696901,-3.5744236,-7.091357,-1.9783438,-8.984579,-4.7241316,-3.3452752,-6.5738544,-7.0269465,-0.7456769,-5.3784013,-2.588643,-3.6961896,-2.4799812,-5.2714696,-1.9027929,-4.386556,-3.5048351,-4.2800236,-3.9540143,-2.0942736,-2.7127595,-3.4110305,-3.4360192,-3.9723432,-3.7955132,-6.413761,-4.3933024,-6.8518567,-1.3456781,-2.4144828,-0.1391901,-3.2509387,-1.0766879,-3.1128573
HeStutters,0,1,31977120,32025120,0,0,0,0,0,0,0,0,3,1,0,0,HeStutters_0_1,-336.54468,60.795284,-2.9175453,10.253622,-11.466489,2.7076561,-10.675123,-4.653667,-14.433005,-5.9262,-1.9348125,-8.946336,-8.3990755,-0.11398187,-7.341883,-3.8782573,-5.1811094,-0.8804178,-6.317062,-1.5379808,-5.5121555,-2.6753387,-4.3359838,-4.0410748,-4.7182884,-4.1740003,-6.1131754,-5.595276,-5.883872,-2.3206067,-2.3048146,0.7270498,-3.2526255,-0.45433187,-5.220855,1.76297,1.6377078,5.408992,3.0007584
HeStutters,0,2,34809760,34857760,0,0,0,0,0,0,0,0,3,0,0,0,HeStutters_0_2,-313.66693,62.418663,-1.3340038,36.03771,-2.6509187,-11.021186,-9.310137,-1.5621372,-13.035163,-8.655547,-4.336684,-7.372598,-7.1389894,-1.5203562,-8.25556,-6.5940676,-1.8055819,-3.0524032,-5.893253,-1.9982507,-4.070416,-5.521622,-4.212894,-2.7155845,-6.6034026,-3.716442,-5.185052,-5.325138,-5.9843583,-3.249218,-3.2187312,0.36051965,-0.11583805,1.7232286,-1.4607716,-1.4307232,-1.4296691,-0.17819574,-3.0468113
HeStutters,0,3,35200640,35248640,0,0,1,0,0,0,0,0,2,0,0,0,HeStutters_0_3,-352.49725,50.20784,-5.8790607,3.1932938,-4.616055,-5.7629876,-4.187028,-0.71504444,-14.383714,-3.3047953,-4.146274,-8.412235,-2.4457874,-0.6360387,-1.6113417,-3.9716058,-1.2715316,-2.213828,-5.2569423,-3.9175181,-5.454934,-2.2293582,-2.2808714,3.3591263,0.91681474,0.47057885,-2.0421948,-3.4130647,-3.1302533,-2.0848665,0.8569596,-0.58948904,-0.9350073,0.20294689,-2.6035612,-1.7012175,-2.5912366,0.65542316,0.82850444
HeStutters,0,4,35721920,35769920,0,0,0,0,0,0,0,0,3,0,0,0,HeStutters_0_4,-341.3533,68.858,-3.9597194,8.430685,-0.5610304,-4.4738684,-9.220818,-3.2015622,-11.855061,-4.6997724,-2.4148467,-7.8037615,-6.036355,-1.6634926,-4.3971114,-5.461059,-4.885096,-3.9022577,-5.8466415,-3.3306491,-4.6563654,-4.900948,-4.688104,-3.4533968,-4.7105775,-3.7483153,-5.728209,-4.0625553,-4.797576,-2.0574813,-3.225782,-1.5613152,-3.7239418,-2.2496734,-3.5134387,-2.0979512,-1.94004,0.020209767,-0.55646116
HeStutters,0,5,36435040,36483040,0,0,1,0,0,0,0,0,2,0,0,0,HeStutters_0_5,-350.96436,70.8409,1.7595761,22.589972,7.785812,-5.3866196,-10.450265,-1.4016877,-9.730509,-5.115982,-6.53776,-6.9796705,-7.198002,-2.2246747,-4.958076,-6.285345,-1.9304527,-3.8997657,-8.833658,-1.846555,-5.2881227,-5.087425,-4.0841093,-3.7488096,-3.2778592,-2.4039116,-2.3289225,-0.9237675,-4.786311,-2.2205954,-4.731575,-4.027788,-4.388147,-3.3809474,-5.370929,-2.888416,-4.7828093,-4.70876,-6.0343738
HeStutters,0,6,37251200,37299200,0,0,0,0,0,0,0,0,3,0,0,0,HeStutters_0_6,-351.6003,79.1615,10.344581,4.350783,-14.230149,-3.446103,-3.8061118,-6.4104943,-7.694991,-1.4435128,-7.1354675,-3.2317777,-8.599639,-2.148435,-3.6314268,-7.0587835,-4.1687727,-0.720655,-7.5173683,-1.9075359,-6.927585,-4.131739,-2.8534663,-4.502906,-3.1999276,-4.8793163,-4.62345,-4.47933,-6.2266097,-4.9854937,-6.181957,-2.396787,-6.544606,-2.319257,-3.68841,-0.22177799,-1.6900306,0.6643739,-0.30343586
HeStutters,0,7,37784640,37832640,0,0,0,0,0,0,0,0,3,2,0,0,HeStutters_0_7,-418.19455,67.52143,9.869955,22.636236,4.3247256,1.1519358,-6.3693986,0.23624639,-12.985676,-0.75293756,-2.457242,-6.0349197,-8.34954,-1.9326828,-5.727237,-6.13269,-4.4400835,-1.6199889,-7.6782064,-3.5259838,-7.313861,-3.0500276,-4.8808784,-3.6168833,-3.1256902,-2.1601448,-3.928553,-2.0690334,-3.7000067,-2.222091,-3.5816975,-2.0083334,-4.034163,-1.0793837,-3.7080867,-2.5000393,-5.019012,-2.5631235,-3.9498158
HeStutters,0,8,37963520,38011520,0,0,0,0,0,0,0,0,3,2,0,0,HeStutters_0_8,-407.68668,51.74119,2.589914,6.4074497,0.7425173,1.4601059,-4.59339,0.8057759,-3.815608,2.119267,-3.1038454,-1.723864,-2.7127328,-1.5160401,-4.1171618,-2.452964,-2.5949614,-2.2104235,-4.835807,0.045371234,-5.147276,-1.8600676,-2.8935869,-4.010075,-3.6711335,-1.5579494,-3.970837,-2.323322,-3.8184435,-2.3061144,-4.807649,-3.0949457,-3.4143083,-2.7402015,-2.5670455,-1.5313035,-3.307021,-1.8816592,-2.0410225
HeStutters,0,9,41417440,41465440,0,0,0,0,0,0,0,0,3,0,0,0,HeStutters_0_9,-322.53464,84.01163,-0.46412456,10.802255,0.25316563,-0.5711327,-7.632134,-2.4970334,-8.864999,-2.7419202,-5.0941205,-9.86523,-3.81617,0.13025863,-6.627994,-4.699877,-4.574168,-2.1235673,-7.6400266,-1.5294473,-4.7127805,-4.5499163,-5.071345,-3.9785895,-5.407522,-2.4860806,-5.1781263,-4.3343644,-4.379029,-4.7985773,-6.2744355,-4.889234,-5.795599,-4.400376,-4.1764727,-0.95743173,-3.210292,0.5770226,1.0427202
