filepath,result,fluent
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/20/HeStutters_20_233.wav,/home/alien/Git/DATA/Sep28kNoWordRepTranscriptions/HeStutters_20_233.txt,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_20_233.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/IStutterSoWhat/1/IStutterSoWhat_1_40.wav,/home/alien/Git/DATA/Sep28kNoWordRepTranscriptions/IStutterSoWhat_1_40.txt,/home/alien/Git/DATA/MeloTTSAudioSmall/IStutterSoWhat_1_40.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/MyStutteringLife/23/MyStutteringLife_23_91.wav,/home/alien/Git/DATA/Sep28kNoWordRepTranscriptions/MyStutteringLife_23_91.txt,/home/alien/Git/DATA/MeloTTSAudioSmall/MyStutteringLife_23_91.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/StutterTalk/68/StutterTalk_68_91.wav,/home/alien/Git/DATA/Sep28kNoWordRepTranscriptions/StutterTalk_68_91.txt,/home/alien/Git/DATA/MeloTTSAudioSmall/StutterTalk_68_91.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/WomenWhoStutter/41/WomenWhoStutter_41_22.wav,/home/alien/Git/DATA/Sep28kNoWordRepTranscriptions/WomenWhoStutter_41_22.txt,/home/alien/Git/DATA/MeloTTSAudioSmall/WomenWhoStutter_41_22.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/StutterTalk/44/StutterTalk_44_37.wav,/home/alien/Git/DATA/Sep28kNoWordRepTranscriptions/StutterTalk_44_37.txt,/home/alien/Git/DATA/MeloTTSAudioSmall/StutterTalk_44_37.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/WomenWhoStutter/101/WomenWhoStutter_101_31.wav,/home/alien/Git/DATA/Sep28kNoWordRepTranscriptions/WomenWhoStutter_101_31.txt,/home/alien/Git/DATA/MeloTTSAudioSmall/WomenWhoStutter_101_31.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/IStutterSoWhat/4/IStutterSoWhat_4_91.wav,/home/alien/Git/DATA/Sep28kNoWordRepTranscriptions/IStutterSoWhat_4_91.txt,/home/alien/Git/DATA/MeloTTSAudioSmall/IStutterSoWhat_4_91.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/MyStutteringLife/12/MyStutteringLife_12_36.wav,/home/alien/Git/DATA/Sep28kNoWordRepTranscriptions/MyStutteringLife_12_36.txt,/home/alien/Git/DATA/MeloTTSAudioSmall/MyStutteringLife_12_36.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/WomenWhoStutter/103/WomenWhoStutter_103_131.wav,/home/alien/Git/DATA/Sep28kNoWordRepTranscriptions/WomenWhoStutter_103_131.txt,/home/alien/Git/DATA/MeloTTSAudioSmall/WomenWhoStutter_103_131.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/HeStutters/0/HeStutters_0_3.wav,/home/alien/Git/DATA/Sep28kNoWordRepTranscriptions/HeStutters_0_3.txt,/home/alien/Git/DATA/MeloTTSAudioSmall/HeStutters_0_3.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/WomenWhoStutter/102/WomenWhoStutter_102_19.wav,/home/alien/Git/DATA/Sep28kNoWordRepTranscriptions/WomenWhoStutter_102_19.txt,/home/alien/Git/DATA/MeloTTSAudioSmall/WomenWhoStutter_102_19.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/StutterTalk/73/StutterTalk_73_8.wav,/home/alien/Git/DATA/Sep28kNoWordRepTranscriptions/StutterTalk_73_8.txt,/home/alien/Git/DATA/MeloTTSAudioSmall/StutterTalk_73_8.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/MyStutteringLife/35/MyStutteringLife_35_40.wav,/home/alien/Git/DATA/Sep28kNoWordRepTranscriptions/MyStutteringLife_35_40.txt,/home/alien/Git/DATA/MeloTTSAudioSmall/MyStutteringLife_35_40.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/WomenWhoStutter/59/WomenWhoStutter_59_6.wav,/home/alien/Git/DATA/Sep28kNoWordRepTranscriptions/WomenWhoStutter_59_6.txt,/home/alien/Git/DATA/MeloTTSAudioSmall/WomenWhoStutter_59_6.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/WomenWhoStutter/30/WomenWhoStutter_30_150.wav,/home/alien/Git/DATA/Sep28kNoWordRepTranscriptions/WomenWhoStutter_30_150.txt,/home/alien/Git/DATA/MeloTTSAudioSmall/WomenWhoStutter_30_150.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/WomenWhoStutter/88/WomenWhoStutter_88_173.wav,/home/alien/Git/DATA/Sep28kNoWordRepTranscriptions/WomenWhoStutter_88_173.txt,/home/alien/Git/DATA/MeloTTSAudioSmall/WomenWhoStutter_88_173.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/WomenWhoStutter/64/WomenWhoStutter_64_3.wav,/home/alien/Git/DATA/Sep28kNoWordRepTranscriptions/WomenWhoStutter_64_3.txt,/home/alien/Git/DATA/MeloTTSAudioSmall/WomenWhoStutter_64_3.wav
/home/alien/Git/DATA/ml-stuttering-events-dataset/CLIP_DIR/MyStutteringLife/7/MyStutteringLife_7_85.wav,/home/alien/Git/DATA/Sep28kNoWordRepTranscriptions/MyStutteringLife_7_85.txt,/home/alien/Git/DATA/MeloTTSAudioSmall/MyStutteringLife_7_85.wav
