Show,EpId,ClipId,Start,Stop,Unsure,PoorAudioQuality,Prolongation,Block,SoundRep,WordRep,DifficultToUnderstand,Interjection,NoStutteredWords,NaturalPause,Music,NoSpeech,Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
HeStutters,0,2,34809760,34857760,0,0,0,0,0,0,0,0,3,0,0,0,HeStutters_0_2,-313.66693,62.418663,-1.3340038,36.03771,-2.6509187,-11.021186,-9.310137,-1.5621372,-13.035163,-8.655547,-4.336684,-7.372598,-7.1389894,-1.5203562,-8.25556,-6.5940676,-1.8055819,-3.0524032,-5.893253,-1.9982507,-4.070416,-5.521622,-4.212894,-2.7155845,-6.6034026,-3.716442,-5.185052,-5.325138,-5.9843583,-3.249218,-3.2187312,0.36051965,-0.11583805,1.7232286,-1.4607716,-1.4307232,-1.4296691,-0.17819574,-3.0468113
HeStutters,0,3,35200640,35248640,0,0,1,0,0,0,0,0,2,0,0,0,HeStutters_0_3,-352.49725,50.20784,-5.8790607,3.1932938,-4.616055,-5.7629876,-4.187028,-0.71504444,-14.383714,-3.3047953,-4.146274,-8.412235,-2.4457874,-0.6360387,-1.6113417,-3.9716058,-1.2715316,-2.213828,-5.2569423,-3.9175181,-5.454934,-2.2293582,-2.2808714,3.3591263,0.91681474,0.47057885,-2.0421948,-3.4130647,-3.1302533,-2.0848665,0.8569596,-0.58948904,-0.9350073,0.20294689,-2.6035612,-1.7012175,-2.5912366,0.65542316,0.82850444
HeStutters,0,4,35721920,35769920,0,0,0,0,0,0,0,0,3,0,0,0,HeStutters_0_4,-341.3533,68.858,-3.9597194,8.430685,-0.5610304,-4.4738684,-9.220818,-3.2015622,-11.855061,-4.6997724,-2.4148467,-7.8037615,-6.036355,-1.6634926,-4.3971114,-5.461059,-4.885096,-3.9022577,-5.8466415,-3.3306491,-4.6563654,-4.900948,-4.688104,-3.4533968,-4.7105775,-3.7483153,-5.728209,-4.0625553,-4.797576,-2.0574813,-3.225782,-1.5613152,-3.7239418,-2.2496734,-3.5134387,-2.0979512,-1.94004,0.020209767,-0.55646116
HeStutters,0,5,36435040,36483040,0,0,1,0,0,0,0,0,2,0,0,0,HeStutters_0_5,-350.96436,70.8409,1.7595761,22.589972,7.785812,-5.3866196,-10.450265,-1.4016877,-9.730509,-5.115982,-6.53776,-6.9796705,-7.198002,-2.2246747,-4.958076,-6.285345,-1.9304527,-3.8997657,-8.833658,-1.846555,-5.2881227,-5.087425,-4.0841093,-3.7488096,-3.2778592,-2.4039116,-2.3289225,-0.9237675,-4.786311,-2.2205954,-4.731575,-4.027788,-4.388147,-3.3809474,-5.370929,-2.888416,-4.7828093,-4.70876,-6.0343738
HeStutters,0,6,37251200,37299200,0,0,0,0,0,0,0,0,3,0,0,0,HeStutters_0_6,-351.6003,79.1615,10.344581,4.350783,-14.230149,-3.446103,-3.8061118,-6.4104943,-7.694991,-1.4435128,-7.1354675,-3.2317777,-8.599639,-2.148435,-3.6314268,-7.0587835,-4.1687727,-0.720655,-7.5173683,-1.9075359,-6.927585,-4.131739,-2.8534663,-4.502906,-3.1999276,-4.8793163,-4.62345,-4.47933,-6.2266097,-4.9854937,-6.181957,-2.396787,-6.544606,-2.319257,-3.68841,-0.22177799,-1.6900306,0.6643739,-0.30343586
HeStutters,0,9,41417440,41465440,0,0,0,0,0,0,0,0,3,0,0,0,HeStutters_0_9,-322.53464,84.01163,-0.46412456,10.802255,0.25316563,-0.5711327,-7.632134,-2.4970334,-8.864999,-2.7419202,-5.0941205,-9.86523,-3.81617,0.13025863,-6.627994,-4.699877,-4.574168,-2.1235673,-7.6400266,-1.5294473,-4.7127805,-4.5499163,-5.071345,-3.9785895,-5.407522,-2.4860806,-5.1781263,-4.3343644,-4.379029,-4.7985773,-6.2744355,-4.889234,-5.795599,-4.400376,-4.1764727,-0.95743173,-3.210292,0.5770226,1.0427202
HeStutters,0,11,42928800,42976800,0,0,0,0,0,0,0,0,3,0,0,0,HeStutters_0_11,-310.75836,27.546114,-17.37885,24.965216,-20.023012,1.1677474,-13.532715,-7.309593,-3.0973854,-5.1103797,-7.832861,-5.4899383,-3.351382,-4.3603454,-10.109835,-1.6788545,-3.3668778,-1.301071,-2.0902283,-1.6100088,-3.2887104,-2.332984,-3.540664,0.26249534,-3.948036,-3.2593818,-3.16354,-2.002792,-8.113313,-3.7983265,-6.7057905,-1.5446374,-6.3561873,-0.98750645,-3.1072156,-1.4228358,-3.615824,-1.1710954,-1.9373322
HeStutters,0,12,43139360,43187360,0,0,0,0,0,0,0,0,3,0,0,0,HeStutters_0_12,-434.341,57.685276,7.8367796,17.070408,6.4341617,1.5724199,-7.1287246,-2.3251631,-6.440955,-4.5490756,-1.6944424,-5.390088,-5.644976,0.8416227,-3.3635917,-4.244845,-2.4583511,-2.678643,-5.012799,-2.7320945,-2.9415245,-3.7031465,-3.8157372,-2.7800581,-2.838815,-2.3091018,-2.6720016,-2.0837731,-3.3103478,-1.1719763,-3.0300293,-1.8696761,-2.2416828,-2.5186174,-2.9855247,-1.7008222,-2.8661544,-2.5286105,-3.5404224
HeStutters,0,15,49411840,49459840,0,0,0,0,0,0,0,0,3,0,0,0,HeStutters_0_15,-392.3434,64.797386,15.740823,5.9142237,-3.1243167,-5.967296,-3.6175647,-4.3247995,-6.54453,-1.9522426,-3.0977368,-7.164125,-4.3600054,-0.265387,-5.788722,-4.3007298,-1.2710057,-5.19978,-4.082912,-2.7394156,-5.404485,-2.5266523,-1.7435087,-2.030888,-2.2287204,-2.5553098,-3.2351108,-2.3340576,-4.1142473,-1.4926013,-4.031503,-2.185715,-4.858533,-3.3547626,-4.557939,-3.9242105,-4.426962,-1.1507962,-0.13219705
HeStutters,0,16,51492320,51540320,0,0,0,0,0,0,0,0,3,0,0,0,HeStutters_0_16,-280.3825,60.39518,-4.546774,6.0752187,-10.967949,-6.362136,-12.122167,-1.4367774,-15.154408,-6.9411407,-4.1447015,-9.300904,-6.7885756,-0.037045754,-8.666027,-6.94264,-7.809055,-1.8098309,-5.2946963,-3.8988578,-4.3244576,-3.986269,-3.9170632,-4.281199,-4.1491427,-3.4237359,-7.1869144,-4.5982113,-3.9105425,-0.9602296,1.0801022,4.886201,1.2789007,1.189228,-4.3244815,-2.2816935,-2.4038398,2.3641086,-2.104922
